city,state_id,state_name,county_name,lat,lng,population,density
East Camden,AR,Arkansas,Ouachita,33.6084,-92.7443,1174,595.9
Mount Hermon,CA,California,Santa Cruz,37.051,-122.0533,1174,697.6
Spencerville,NM,New Mexico,San Juan,36.8244,-108.0563,1174,86.3
Clinton,KY,Kentucky,Hickman,36.6663,-88.9938,1173,280.9
Ohkay Owingeh,NM,New Mexico,Rio Arriba,36.044,-106.0565,1173,118
Williams,OR,Oregon,Josephine,42.2194,-123.2922,1173,40
Magnolia,OH,Ohio,Stark,40.653,-81.2928,1172,566.5
Keedysville,MD,Maryland,Washington,39.4867,-77.698,1172,499.1
Glenville,WV,West Virginia,Gilmer,38.9379,-80.834,1172,454.6
Fairfax,OK,Oklahoma,Osage,36.5699,-96.708,1172,590.9
McClure,PA,Pennsylvania,Snyder,40.7078,-77.3107,1171,120.4
Shoal Creek,AL,Alabama,Shelby,33.4328,-86.6071,1171,89.7
Tahoe Vista,CA,California,Placer,39.2478,-120.0533,1171,166.5
Coloma,MI,Michigan,Berrien,42.1864,-86.3083,1171,509.1
Clinton,OH,Ohio,Summit,40.9284,-81.6304,1171,126
Ashland,IL,Illinois,Cass,39.8886,-90.0078,1171,604.6
Norlina,NC,North Carolina,Warren,36.4451,-78.1952,1170,406
Ipswich,SD,South Dakota,Edmunds,45.4435,-99.03,1170,337
Cambridge,NE,Nebraska,Furnas,40.2843,-100.1653,1170,337.9
Elkhart Lake,WI,Wisconsin,Sheboygan,43.8322,-88.0147,1170,352.5
Fincastle,TN,Tennessee,Campbell,36.4038,-84.048,1170,123.7
Perry,KS,Kansas,Jefferson,39.0732,-95.3866,1169,602.7
Konawa,OK,Oklahoma,Seminole,34.9579,-96.7538,1169,343.7
Wakeman,OH,Ohio,Huron,41.253,-82.4028,1169,547.4
Andale,KS,Kansas,Sedgwick,37.7916,-97.6276,1169,759.1
Fairfax,MN,Minnesota,Renville,44.5283,-94.7231,1169,344.6
Berryville,TX,Texas,Henderson,32.0877,-95.4664,1169,344.7
Mars,PA,Pennsylvania,Butler,40.6969,-80.0141,1169,959.5
Skidmore,TX,Texas,Bee,28.2626,-97.6854,1168,42.8
Sharon,TN,Tennessee,Weakley,36.2349,-88.8252,1168,355.1
Tunnel Hill,GA,Georgia,Whitfield,34.8496,-85.0393,1168,226.4
Granville South,OH,Ohio,Licking,40.0521,-82.5415,1168,74
Candor,NC,North Carolina,Montgomery,35.2964,-79.7323,1168,222.7
Summer Set,MO,Missouri,Jefferson,38.0905,-90.575,1168,494.5
Leming,TX,Texas,Atascosa,29.0683,-98.4722,1168,93.4
Cortland West,NY,New York,Cortland,42.5942,-76.2258,1168,87.3
West Brow,GA,Georgia,Dade,34.9148,-85.4186,1167,172.5
Mayville,MI,Michigan,Tuscola,43.3363,-83.352,1167,418.3
Bradner,OH,Ohio,Wood,41.3237,-83.4363,1167,731
Animas,PR,Puerto Rico,Arecibo,18.4457,-66.6364,1167,1722.1
Quebrada del Agua,PR,Puerto Rico,Ponce,18.0378,-66.6847,1167,783.9
Lake Shore,MN,Minnesota,Cass,46.504,-94.3635,1166,35.5
New York Mills,MN,Minnesota,Otter Tail,46.5198,-95.3732,1166,309.9
Reedsville,WI,Wisconsin,Manitowoc,44.1524,-87.9516,1166,371.3
Vandiver,AL,Alabama,Shelby,33.4601,-86.5247,1166,22.2
Potomac Heights,MD,Maryland,Charles,38.5988,-77.1371,1166,419.5
Central City,IA,Iowa,Linn,42.2023,-91.5247,1166,419.1
Sunday Lake,WA,Washington,Snohomish,48.2265,-122.2537,1166,135.3
Port Gibson,MS,Mississippi,Claiborne,31.9558,-90.9834,1165,256.3
Flovilla,GA,Georgia,Butts,33.2524,-83.903,1165,229.7
Carolina,RI,Rhode Island,Washington,41.4625,-71.6585,1165,182.8
Clinton,WA,Washington,Island,47.9731,-122.3577,1165,444.5
Greenvale,NY,New York,Nassau,40.8118,-73.6262,1164,1098.7
Duncansville,PA,Pennsylvania,Blair,40.4263,-78.4303,1164,844.2
Pomona,KS,Kansas,Franklin,38.6108,-95.4529,1164,475.9
Clinton,PA,Pennsylvania,Allegheny,40.4923,-80.297,1164,486.5
Tignall,GA,Georgia,Wilkes,33.8674,-82.742,1163,163
Wendover,UT,Utah,Tooele,40.7241,-114.025,1163,50.3
Salem,SD,South Dakota,McCook,43.7229,-97.3893,1163,359.1
Jagual,PR,Puerto Rico,San Lorenzo,18.161,-65.9993,1163,1177
Chesapeake,OH,Ohio,Lawrence,38.4298,-82.4489,1163,948.2
Oakland,OK,Oklahoma,Marshall,34.096,-96.7996,1163,314.1
Palo,IA,Iowa,Linn,42.0649,-91.8005,1162,374.8
South Waverly,PA,Pennsylvania,Bradford,41.9955,-76.5442,1162,511
La Crosse,KS,Kansas,Rush,38.5318,-99.3095,1162,433
Williamstown,PA,Pennsylvania,Dauphin,40.5809,-76.617,1162,1365.8
Willards,MD,Maryland,Wicomico,38.3922,-75.3494,1161,394.2
Springville,IA,Iowa,Linn,42.047,-91.4542,1160,307
Alexandria,TN,Tennessee,DeKalb,36.0791,-86.0382,1160,221.2
Yellville,AR,Arkansas,Marion,36.2289,-92.686,1159,180.3
Kings Mills,OH,Ohio,Warren,39.3586,-84.2504,1159,397.3
Buffalo,SC,South Carolina,Union,34.7244,-81.6844,1159,111.3
Cayuga,IN,Indiana,Vermillion,39.9474,-87.4644,1158,441.2
Dixon,MO,Missouri,Pulaski,37.9953,-92.0956,1158,428.1
Plummer,ID,Idaho,Benewah,47.3301,-116.8849,1158,354.4
Urbancrest,OH,Ohio,Franklin,39.9017,-83.0859,1157,762.5
Elm City,NC,North Carolina,Wilson,35.8044,-77.8561,1157,207.7
Benns Church,VA,Virginia,Isle of Wight,36.937,-76.5842,1157,108.9
Fort Thompson,SD,South Dakota,Buffalo,44.0527,-99.4079,1157,43
Riddle,OR,Oregon,Douglas,42.9542,-123.3644,1157,703.8
Clear Lake,WA,Washington,Pierce,46.931,-122.2841,1157,52.6
Brookside,AL,Alabama,Jefferson,33.6372,-86.9002,1157,70.8
Toppers,OK,Oklahoma,Wagoner,35.9656,-95.3201,1156,192.7
Poseyville,IN,Indiana,Posey,38.1697,-87.7834,1156,691.6
Hagaman,NY,New York,Montgomery,42.9728,-74.1545,1156,298
Leland,IL,Illinois,LaSalle,41.616,-88.7982,1156,836.2
Newark,IL,Illinois,Kendall,41.5368,-88.5803,1156,397
Ellerbe,NC,North Carolina,Richmond,35.0718,-79.7595,1156,339.3
Ten Mile Creek,MD,Maryland,Montgomery,39.2267,-77.3101,1156,77.1
Washington,WV,West Virginia,Wood,39.2422,-81.6679,1155,105
West Pelzer,SC,South Carolina,Anderson,34.645,-82.4738,1155,850
Homeland,GA,Georgia,Charlton,30.8603,-82.0214,1155,178.4
Dunlap,OH,Ohio,Hamilton,39.2909,-84.6301,1155,68.3
Wooster,AR,Arkansas,Faulkner,35.1998,-92.4503,1155,156.7
Matamoras,OH,Ohio,Washington,39.5204,-81.0684,1154,440.8
Central City,IL,Illinois,Marion,38.5484,-89.1284,1154,788.6
Lexington,MS,Mississippi,Holmes,33.1163,-90.0498,1154,184.3
Fort Calhoun,NE,Nebraska,Washington,41.4563,-96.0264,1154,652.8
Dover Plains,NY,New York,Dutchess,41.7395,-73.5733,1154,651.5
Edgard,LA,Louisiana,St. John the Baptist,30.0362,-90.546,1154,39.1
Panacea,FL,Florida,Wakulla,30.0282,-84.3936,1152,266.7
North Hornell,NY,New York,Steuben,42.3453,-77.6605,1152,906.5
Kootenai,ID,Idaho,Bonner,48.3118,-116.5172,1152,803.1
Fair Haven,NY,New York,Cayuga,43.3263,-76.7044,1151,252.4
Mapleton,ND,North Dakota,Cass,46.8915,-97.0533,1151,113.6
Donald,OR,Oregon,Marion,45.2227,-122.8389,1151,940.7
Buffalo,WV,West Virginia,Putnam,38.6108,-81.9817,1151,320.7
Shongopovi,AZ,Arizona,Navajo,35.8195,-110.5331,1151,280.1
Cottonwood,MN,Minnesota,Lyon,44.6105,-95.6721,1150,445.8
Richton,MS,Mississippi,Perry,31.3495,-88.9407,1150,193.6
Baltic,CT,Connecticut,Southeastern Connecticut,41.6139,-72.0865,1150,356.7
Oran,MO,Missouri,Scott,37.0855,-89.6534,1150,421.8
Brush Fork,WV,West Virginia,Mercer,37.2805,-81.245,1150,233.6
Memphis,MI,Michigan,Macomb,42.8956,-82.7689,1150,395.8
Edmund,SC,South Carolina,Lexington,33.8629,-81.1996,1149,64.9
Ladoga,IN,Indiana,Montgomery,39.9167,-86.7989,1149,826.2
George,IA,Iowa,Lyon,43.342,-96.0034,1149,193.4
Fort Lawn,SC,South Carolina,Chester,34.7003,-80.8991,1149,318.6
Milesburg,PA,Pennsylvania,Centre,40.9426,-77.792,1148,1014.6
Fletcher,OK,Oklahoma,Comanche,34.8237,-98.2341,1148,230.4
Buttonwillow,CA,California,Kern,35.4092,-119.4406,1148,64
Iola,WI,Wisconsin,Waupaca,44.5091,-89.1249,1148,265.2
Due West,SC,South Carolina,Abbeville,34.3335,-82.3885,1148,271
West Park,CA,California,Fresno,36.7055,-119.8516,1148,247.4
Wayland,IA,Iowa,Henry,41.1484,-91.6575,1148,416.7
Petersburg,MI,Michigan,Monroe,41.8993,-83.7136,1148,918.1
Baxter Estates,NY,New York,Nassau,40.8338,-73.6948,1148,2103.6
Milledgeville,IL,Illinois,Carroll,41.9636,-89.7747,1148,642.3
Cacao,PR,Puerto Rico,Quebradillas,18.4525,-66.9559,1148,524.6
Whitley City,KY,Kentucky,McCreary,36.7238,-84.4731,1148,192.2
Lake Camelot,WI,Wisconsin,Adams,44.2147,-89.7624,1148,117.6
West Yellowstone,MT,Montana,Gallatin,44.6627,-111.1057,1147,487.9
Fifth Ward,LA,Louisiana,Avoyelles,31.1207,-92.1584,1147,85.2
Onsted,MI,Michigan,Lenawee,42.0061,-84.1893,1147,414.9
Flagtown,NJ,New Jersey,Somerset,40.5232,-74.6909,1147,259.3
Simpson,PA,Pennsylvania,Lackawanna,41.5945,-75.4813,1147,501.5
Las Ochenta,PR,Puerto Rico,Salinas,17.9847,-66.3174,1147,832.2
North Bonneville,WA,Washington,Skamania,45.6425,-121.9688,1146,175.2
Kincaid,IL,Illinois,Christian,39.5868,-89.4166,1146,541.8
Robert Lee,TX,Texas,Coke,31.8955,-100.4857,1146,388.4
West Easton,PA,Pennsylvania,Northampton,40.6781,-75.2357,1146,2984.3
Goreville,IL,Illinois,Johnson,37.5611,-88.9557,1146,164.8
Athens,WV,West Virginia,Mercer,37.4231,-81.0151,1146,1098.1
Verona,KY,Kentucky,Boone,38.8122,-84.6649,1146,36.2
Del Rio,CA,California,Stanislaus,37.7432,-121.0084,1146,221.5
Brilliant,AL,Alabama,Marion,34.0256,-87.7691,1145,41.7
Newport,DE,Delaware,New Castle,39.7135,-75.6046,1145,948
Dorothy,NJ,New Jersey,Atlantic,39.4054,-74.8333,1144,75.6
Monroeville,IN,Indiana,Allen,40.9735,-84.8675,1144,557.7
Sunflower,MS,Mississippi,Sunflower,33.5444,-90.5373,1144,728.7
Cottageville,SC,South Carolina,Colleton,32.9362,-80.4803,1144,129.3
Mound City,MO,Missouri,Holt,40.1365,-95.2337,1143,354.3
Moose Wilson Road,WY,Wyoming,Teton,43.5315,-110.834,1143,65.5
Cross Plains,TX,Texas,Callahan,32.1271,-99.1658,1143,367.8
Lake Lorelei,OH,Ohio,Brown,39.1875,-83.9715,1143,200.5
Glasgow,MO,Missouri,Howard,39.2278,-92.8393,1143,327.7
Lyndonville,VT,Vermont,Caledonia,44.5351,-72.0017,1143,623.3
Trezevant,TN,Tennessee,Carroll,36.011,-88.6206,1142,310.3
Balfour,NC,North Carolina,Henderson,35.3494,-82.4825,1142,271.6
Seaman,OH,Ohio,Adams,38.937,-83.5753,1142,413.1
Arlington,GA,Georgia,Calhoun,31.4383,-84.7253,1141,110.2
Kibler,AR,Arkansas,Crawford,35.4268,-94.2358,1141,88.2
Crandon Lakes,NJ,New Jersey,Sussex,41.1234,-74.8403,1141,172.4
Black Hammock,FL,Florida,Seminole,28.7107,-81.1801,1140,39.6
Lakeview,OH,Ohio,Logan,40.4875,-83.9266,1140,621.4
Hiawassee,GA,Georgia,Towns,34.9495,-83.7531,1140,270.1
Chapman,KS,Kansas,Dickinson,38.9746,-97.0236,1140,471.8
Forreston,IL,Illinois,Ogle,42.1273,-89.5784,1140,466.5
Albany,LA,Louisiana,Livingston,30.4993,-90.5839,1140,328.5
Wolcottville,IN,Indiana,Noble,41.5255,-85.3665,1140,434.6
New Sarpy,LA,Louisiana,St. Charles,29.9809,-90.3832,1140,387.7
Boise City,OK,Oklahoma,Cimarron,36.7313,-102.5095,1140,298.2
Beloit,OH,Ohio,Mahoning,40.9196,-80.9964,1140,451.4
Highlands,NC,North Carolina,Macon,35.0538,-83.1976,1140,70.4
La Vernia,TX,Texas,Wilson,29.3542,-98.1219,1140,184.2
Bowmanstown,PA,Pennsylvania,Carbon,40.8019,-75.6611,1140,572.2
St. Ansgar,IA,Iowa,Mitchell,43.3799,-92.9178,1140,404.7
Prosperity,SC,South Carolina,Newberry,34.2121,-81.5329,1139,223
Great Neck Gardens,NY,New York,Nassau,40.797,-73.7225,1139,2051
Marlinton,WV,West Virginia,Pocahontas,38.2245,-80.0905,1139,187
Fellsburg,PA,Pennsylvania,Westmoreland,40.1842,-79.8269,1139,355.3
Oskaloosa,KS,Kansas,Jefferson,39.2158,-95.3145,1138,442.1
Wiggins,CO,Colorado,Morgan,40.2286,-104.0724,1138,332.2
Newberry,MI,Michigan,Luce,46.3538,-85.5098,1138,447.7
Alakanuk,AK,Alaska,Kusilvak,62.6902,-164.6305,1138,13.6
Palmarejo,PR,Puerto Rico,Lajas,18.0409,-67.0766,1137,956.2
Maud,TX,Texas,Bowie,33.3299,-94.3461,1137,294.5
Casa Blanca,AZ,Arizona,Pinal,33.1154,-111.9081,1137,27.8
Clarence,IA,Iowa,Cedar,41.8858,-91.0581,1136,576
Wanatah,IN,Indiana,LaPorte,41.4305,-86.8926,1136,313.4
Five Points,NC,North Carolina,Hoke,35.0154,-79.3513,1136,53
Douglas,MI,Michigan,Allegan,42.6411,-86.2083,1136,246.6
East Barre,VT,Vermont,Washington,44.15,-72.4498,1136,167.4
Felton,DE,Delaware,Kent,39.0127,-75.5765,1136,556.8
North Utica,IL,Illinois,LaSalle,41.3536,-89.0109,1136,126.9
Fivepointville,PA,Pennsylvania,Lancaster,40.1828,-76.0554,1136,355.5
Monticello,WI,Wisconsin,Green,42.7456,-89.5899,1135,367.5
Owensville,IN,Indiana,Gibson,38.2718,-87.6919,1135,770.2
Ashley,IN,Indiana,DeKalb,41.5215,-85.0614,1135,230.2
Clay City,IN,Indiana,Clay,39.2772,-87.1128,1135,813.1
Sterling City,TX,Texas,Sterling,31.8392,-100.986,1135,447.5
Verdi,NV,Nevada,Washoe,39.5142,-119.9772,1134,132.1
Dunnavant,AL,Alabama,Shelby,33.4977,-86.5421,1134,22.7
Harper,KS,Kansas,Harper,37.2851,-98.0276,1134,269.8
Siletz,OR,Oregon,Lincoln,44.7219,-123.9187,1134,694.9
Dixon,KY,Kentucky,Webster,37.5134,-87.6959,1134,350.5
